Artifact_ID,Artifact_Name,Museum_ID,Gallery_No,Period_Dating,Finding_Place,Dimension_ID,Provenance_Note,Description,Source_Link
1,Sword of Nawab Siraj-ud-Daulah,8,Arms Gallery,18th century (d. 1757),Murshidabad,,,"Sword linked to the last independent Nawab of Bengal, symbol of resistance against British East India Company. The blade is steel with a curved form typical of 18th-century Indo-Persian swords. Its association with Siraj-ud-Daulah makes it a powerful emblem of the Battle of Plassey and the beginning of colonial rule in the Indian subcontinent.",
2,Cannon of Isa Khan,8,Arms Gallery,16th century (1575–1599),Sonargaon,1,,"Used by Isa Khan against Mughal forces, emblem of Bengal’s independence. This bronze cannon is a massive piece of artillery, cast with decorative rings and possibly inscriptions. Isa Khan was a leader of the Baro-Bhuiyan confederacy who resisted Mughal expansion into Bengal. The cannon represents the fierce resistance and military capability of the region before it came under full Mughal control.",
3,Helmet of bengal sultanate-kuludh kha,8,Arms Gallery,"13th–16th century CE (Bengal Sultanate, 1205–1576 CE)",Bengal (exact provenance unrecorded; acquired through historical Bengal collections),,,"A steel combat helmet of the kulah khud type, representing the military material culture of the independent Bengal Sultanate. The skull is formed by hand-hammering a single piece of steel into a hemispherical dome with a pointed or slightly conical top, a form derived from Central Asian and Persian military traditions that entered Bengal through Turkic and Afghan rulers during the early Sultanate period. The exterior surface bears engraved or chiseled floral and geometric decoration, with a band of Quranic or Persian calligraphic inscriptions running along the lower rim in naskh or nasta'liq script — a standard feature of high-status Islamic military equipment of the period. A central spike socket (mighfer) surmounts the dome, flanked by one or two plume holders for ceremonial egret feathers. A riveted chainmail aventail (bargustawan) hangs from the lower edge, originally covering the neck, shoulders, and sides of the face. A sliding nasal bar is attached at the front. The interior retains visible hammer marks from its manufacture. The helmet reflects the synthesis of Central Asian, Persian, and local Bengali metalworking traditions that characterized Sultanate-era arms production in Bengal, and stands as one of the few surviving pieces of military headgear from this period held in a Bangladeshi public collection.",
4,Gold Coins of Bengal Sultans,8,Numismatics Gallery,1205–1538 CE,Pandua/Gaur/Satgaon,2,Acquired via Dacca Museum collections,"Coins inscribed with ruler’s name, Islamic phrases, mint city; ornate calligraphy. These gold dinars and tankas were struck by various sultans of the independent Bengal Sultanate, including rulers like Ghiyasuddin Iwaz Shah, Shamsuddin Ilyas Shah, and Alauddin Hussain Shah. The coins feature elegant Arabic script and sometimes the Bengali date. They reveal the economic prosperity and political sovereignty of medieval Bengal.",
5,Rabindranath Tagore’s Letter,8,,Early 20th century,,,Donated by private collector,"Handwritten letter by Nobel laureate poet Rabindranath Tagore. The letter is written in Bengali script on paper, likely addressed to a contemporary or discussing literary or social matters. Tagore's intimate correspondence provides insight into his thoughts, creative process, and relationships. Such manuscripts are invaluable for understanding the cultural renaissance of Bengal in the early 20th century.",
6,Zainul Abedin’s Famine Sketches,8,Gallery 7,1943 CE,Calcutta,,Donated by Zainul Abedin,"Iconic sketches depicting human suffering during famine; cornerstone of modern Bangladeshi art. Zainul Abedin created a series of ink drawings in 1943 documenting the Bengal Famine. Using Chinese ink on paper, he portrayed skeletal figures, desperate crowds, and scenes of death on the streets of Calcutta. The raw, unflinching realism of these sketches shocked the world and established Abedin as a pioneering modernist artist in South Asia. These works also served as a powerful critique of British colonial policies and indifference.",
7,Nabanna (New Harvest),8,Gallery 7,c. 1950s,Rural Bengal,,Artist: Zainul Abedin,"Watercolor depicting Nabanna festival celebrating new rice harvest. In this vibrant work, Abedin moves away from tragedy to celebrate the resilience of rural life. The painting shows farmers gathering ripe paddy, women cooking the first rice of the season, and the community sharing in the abundance. The composition is filled with movement and earthy colors, reflecting the cyclical nature of agricultural life and the hope that follows hardship. The Nabanna festival remains an important cultural event in Bangladesh.",
8,Santal Village Life,8,Gallery 7,c. 1950s–1960s,Birbhum/Rajshahi,,Artist: Zainul Abedin,"Depicts Santal men and women in traditional dress with dignity. Abedin was deeply interested in the indigenous Santal community of Bengal. This watercolor portrays a peaceful village scene: Santal women in red-bordered white saris carrying water pots, men in loincloths working or playing drums. Unlike ethnographic illustrations that otherize, Abedin’s treatment gives the Santals a sense of agency and humanity, celebrating their distinct culture as an integral part of Bengal’s heritage.",
9,A descriptive catalogue of the Sanskrit and Bengali manuscripts,8,Manuscripts Gallery,12th–18th century,Dhaka/Rajshahi,3,Acquired from private collections,"Rare manuscripts in Sanskrit and Bengali covering philosophy, religion, literature. The collection includes palm-leaf manuscripts of Hindu religious texts like the Bhagavata Purana, Buddhist philosophical treatises, and medical works (Ayurveda). Some are illustrated with miniature paintings. These fragile artifacts are preserved in climate-controlled cases and are crucial for studying the intellectual history of pre-modern Bengal. They also demonstrate the long tradition of manuscript culture in the region before the printing press.",
10,Standing Vishnu Image,8,Gallery 6,9th–10th century CE,Dinajpur/Rangpur,,Excavation find,"Four-armed Vishnu holding conch, discus, mace, lotus. Carved from fine-grained black basalt, this Pala-period sculpture stands approximately 1 meter tall. Vishnu is shown in a rigid frontal pose (samabhanga) wearing a tall cylindrical crown (kiritamukuta). The four attributes are held in his four hands: shankha (conch), chakra (discus), gada (mace), and padma (lotus). The figure is flanked by two small attendants or personifications of his consorts, Lakshmi and Saraswati. The carving is crisp and highly polished, typical of the Pala stone carving tradition.",
