Artifact_ID,Material_ID
1,1
2,2
3,3
4,4
5,5
5,6
6,7
7,8
8,8
9,9
9,5
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,2
18,7
19,7
20,8
21,8
22,8
23,10
24,11
25,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,12
100,13
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
113,12
114,12
115,12
116,12
117,12
118,12
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,14
130,15
131,16
131,2
134,17
135,18
136,19
136,20
136,21
136,22
136,23
137,24
137,25
138,26
138,27
138,28
138,29
150,30
152,31
152,32
152,33
152,34
153,35
153,36
153,37
153,38
154,39
154,40
154,41
157,42
158,43
159,44
160,10
160,45
161,46
162,46
164,47
165,46
166,46
167,46
168,10
169,46
170,46
171,48
172,47
173,10
175,15
176,49
177,15
178,4
178,14
179,15
180,4
181,4
182,15
182,4
183,4
183,15
184,50
185,17
185,51
185,52
186,15
186,53
186,2
187,53
187,2
187,5
188,54
189,54
190,2
190,55
191,56
191,54
192,54
193,5
194,57
195,1
195,58
196,15
196,59
197,5
197,56
197,60
198,61
198,62
198,63
199,64
200,17
201,65
202,15
202,14
202,2
203,17
203,66
204,35
204,36
204,67
204,68
205,69
205,70
205,71
206,45
206,2
206,16
206,72
207,5
207,73
208,74
208,75
208,76
209,77
209,78
209,73
210,79
210,80
210,35
211,81
212,81
212,71
213,82
213,15
213,83
214,35
214,84
214,69
215,35
215,36
215,52
216,36
216,67
216,85
217,36
217,52
217,86
218,17
218,87
219,88
219,89
220,35
220,36
220,69
220,84
221,5
221,9
221,90
222,15
222,14
223,17
223,66
224,45
225,88
226,5
226,91
226,92
227,5
227,93
227,94
228,15
228,14
229,95
229,96
230,97
230,98
230,99
230,100
231,52
231,101
232,102
232,103
232,101
232,104
233,16
233,105
234,106
234,107
235,51
235,108
235,101
236,51
236,109
237,110
237,111
238,112
239,113
240,114
241,115
242,51
243,51
243,116
244,51
244,117
244,118
245,119
246,51
246,120
246,121
247,122
248,123
249,124
250,5
250,6
251,125
251,126
252,51
252,108
252,127
253,128
253,129
253,130
254,131
254,132
255,133
255,134
255,135
256,136
257,115
258,88
258,137
259,138
259,139
260,17
261,17
262,17
263,4
264,15
265,65
266,140
266,141
267,17
268,18
269,142
270,52
270,1
271,14
272,17
273,143
274,15
275,144
276,5
276,90
276,145
277,146
278,52
279,15
280,147
280,148
281,149
282,45
282,150
283,17
284,2
284,16
285,88
286,151
286,79
287,152
287,66
288,153
288,154
289,155
289,1
290,155
291,155
292,155
292,156
293,155
294,155
295,155
296,1
296,155
297,1
297,155
298,155
299,157
299,158
300,159
300,160
300,161
301,162
301,19
301,163
302,1
302,155
303,1
303,164
304,1
304,165
305,1
305,166
305,167
306,168
306,169
306,170
307,171
307,172
308,173
308,174
308,175
309,155
310,1
310,176
311,177
311,165
312,178
312,179
312,84
313,155
314,4
314,15
314,2
314,180
314,181
315,182
315,70
315,183
315,184
316,185
316,186
316,187
317,155
317,188
318,189
318,190
319,82
319,191
320,35
320,82
320,192
321,150
321,193
322,194
322,195
323,5
323,6
324,2
325,196
326,197
327,35
327,198
328,88
328,199
329,200
329,36
329,35
329,201
330,88
330,202
331,17
331,193
332,36
333,147
333,148
334,88
334,203
335,204
336,85
336,36
336,205
336,67
337,206
337,207
338,16
338,208
339,35
339,36
339,209
340,210
340,211
341,196
342,36
342,212
342,213
343,214
343,215
363,2
364,2
365,10
366,10
367,10
368,10
369,2
370,10
371,10
372,2
372,84
373,216
374,48
375,2
376,2
377,2
378,2
379,2
380,217
381,14
382,4
382,15
383,217
384,72
384,200
385,218
386,14
387,2
388,219
388,2
389,219
389,2
390,15
391,2
392,10
393,9
394,52
395,72
395,200
396,150
397,2
398,220
399,2
400,45
401,45
402,45
403,45
404,45
405,35
406,4
407,15
408,10
409,217
410,221
411,10
462,222
463,223
