Category_ID,Category_Name
1,Academic Museum
2,Archaeological Museum
3,Archaeological Ruins
4,Art Museum
5,Boat Museum
6,Children's Museum
7,Cultural Centre and Gallery
8,District Museum
9,Divisional Museum
10,Fine Arts Gallery
11,Fisheries Museum
12,Folk Museum
13,Geological Museum
14,Geology Museum
15,Heritage Museum
16,History Museum
17,Liberation War Museum
18,Marine Life Museum
19,Maritime Museum
20,Memorial Library and Museum
21,Memorial Museum
22,Military Memorial Museum
23,Military Museum
24,National History Museum
25,National Museum
26,Palace Museum
27,Philatelic Museum
28,Research Museum
29,Science Museum
30,Site Museum
31,Specialized Museum
32,Tribal Museum
33,War Memorial Museum
