City_ID,City_Name,District_ID
1,Patharghata,1
2,Faridpur,10
3,Roufnagar,10
4,Kishoreganj,11
5,Madaripur,12
6,Saturia,13
7,Sonargaon,14
8,Sagardari,15
9,Khulna,16
10,Kumarkhali,17
11,Kushtia,17
12,Shilaidaha,17
13,Mymensingh,18
14,Birisiri (Durgapur),19
15,Barisal District,2
16,Bogra,20
17,Shibganj,20
18,Badalgachhi,21
19,Natore,22
20,Bagha,23
21,Rajshahi,23
22,Shahzadpur,24
23,Dinajpur,25
24,Panchagarh,26
25,Rangpur,27
26,Thakurgaon,28
27,Sreemangal,29
28,Chandpur,3
29,Moulvibazar,30
30,Sunamganj,31
31,Sylhet,32
32,Zinda Bazar,32
33,Agrabad C/A,4
34,Chittagong,4
35,Comilla,5
36,Cox's Bazar,6
37,Cumilla,7
38,Rangamati,8
39,Agargaon,9
40,Bijoy Sarani (Tejgaon),9
41,Dhaka,9
42,Dhanmondi,9
43,Lalbagh,9
44,Mirpur-2,9
45,Nagar Bhaban (5th Floor),9
46,Old Dhaka,9
47,Old High Court Area,9
48,Rajarbagh,9
49,Shahbag,9
50,Shahbagh,9
51,Suhrawardy Udyan,9
52,Tejgaon,9
