Dimension_ID,Length,Width,Height
1,,,
2,,,
3,,,
4,82.55,40.64 cm,
5,,,
6,,,82 cm
7,,,98 cm
8,,,
9,,,
10,,,
11,,,96 cm
12,,,68.5 cm
13,,,
14,,,
15,,,
16,28,10 cm,
17,,,
18,,,
19,18 cm,37 cm,17 cm
20,,,34 
21,56,46 cm,
22,,,52 cm
23,,,107 cm
24,71 cm,74.93,33.02 cm
25,,,255 cm
26,,,
27,,,104.14 cm
28,,,161 cm
29,,,107 cm
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,20,35 cm,30
41,,,
42,122,60 mm,
43,148,70 mm,
44,,,
45,,,
46,,,
47,3,4 m,
48,,,
49,,,
50,,,
51,,,60
52,,,
53,28,14,7 cm
54,,,
55,,,
56,,,
57,30,25 cm,
58,,,
59,,,30
60,,,
61,,,80 cm
62,50,40 cm,40 cm
63,30,20,15 cm
64,,,35 cm
65,,,60 cm
66,180,90 cm,75 cm
67,,,200 cm
68,,,100 cm
69,120,80 cm,
70,,,40 cm
71,40,15 cm,
72,,,
73,,,
74,,,150 cm
75,210,120 cm,
76,100 cm,30,30 cm
77,,,180 cm
78,,,130 cm
79,60,60,30 cm
80,,,60 cm
81,50,40,35 cm
82,,,
83,,,
84,120,55 cm,170 cm
85,60,40 cm,
86,150,100,30 cm
87,,,50 cm
88,,,
89,40,35 cm,
90,50,45 cm,
91,35,30 cm,
92,,,
93,,,
94,28,14,7 cm
95,,,90 cm
96,30,25 cm,
97,,,12 cm
98,,,
99,,,
100,25,15 cm,
101,45,38 cm,
102,,,
103,,,
104,28,20 cm,420
105,40,35 cm,
106,12,8 cm,15 cm
107,,,
108,50,50 cm,
109,,,
110,60,15 cm,
111,,,45 cm
112,60,40 cm,
113,,,20 cm
114,100,60,40 cm
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,30,40 cm,
130,,,
131,,,
132,,,
133,25,11,35 cm
134,,,
135,,,
136,3,2 m,
137,,,
138,150,120 cm,
139,60,40 cm,
140,,,
141,,,22 cm
142,45,60 cm,
143,200,35 cm,
144,100,80,40 cm
145,25,18 cm,
146,,,18 cm
147,,,
148,30,30 cm,
149,,,
150,,,60 cm
151,,,
152,30,25 cm,
153,50,35 cm,
154,,,
155,,,
156,,,
157,,,
158,,,
159,9,8,12
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,68.5,36 cm,
172,,,
173,,,
174,13 cm,6 cm,
175,,,
176,,,
177,75.5 cm,43.5 cm,
178,79.5 cm,43 cm,
179,83 cm,39 cm,
180,85 cm,38.5 cm,
181,83 cm,43 cm,
182,50.5 cm,27.5 cm,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,67 cm,33.8 cm,
207,,,
208,106 cm,49 cm,
209,79.5 cm,41 cm,
210,62.9 cm,22.8 cm,
211,80.1 cm,39.4 cm,
212,75.5 cm,40.3 cm,
213,81 cm,50.2 cm,
214,73.7 cm,49.5 cm,
215,88.9 cm,55.9 cm,
216,68.6 cm,33 cm,
217,101.6 cm,49.5 cm,
218,82.6 cm,38.7 cm,
219,82.5 cm,44.4 cm,
220,88.9 cm,44.5 cm,
221,84.5 cm,37.5 cm,
222,84 cm,41 cm,
