District_ID,District_Name,Division_ID
1,Barguna,1
2,Barisal,1
3,Chandpur,2
4,Chittagong,2
5,Comilla,2
6,Cox's Bazar,2
7,Cumilla,2
8,Rangamati,2
9,Dhaka,3
10,Faridpur,3
11,Kishoreganj,3
12,Madaripur,3
13,Manikganj,3
14,Narayanganj,3
15,Jessore,4
16,Khulna,4
17,Kushtia,4
18,Mymensingh,5
19,Netrokona,5
20,Bogra,6
21,Naogaon,6
22,Natore,6
23,Rajshahi,6
24,Sirajganj,6
25,Dinajpur,7
26,Panchagarh,7
27,Rangpur,7
28,Thakurgaon,7
29,Maulvibazar,8
30,Moulvibazar,8
31,Sunamganj,8
32,Sylhet,8
