Museum_ID,Gallery_No,Gallery_Name,Floor
1,Distributed across galleries,Distributed across galleries,
1,Gallery 1,Gallery 1,
1,Gallery 10,Gallery 10,
1,Gallery 10A,Gallery 10A,
1,Gallery 11,Gallery 11,
1,Gallery 12,Gallery 12,
1,Gallery 13,Gallery 13,
1,Gallery 14,Gallery 14,
1,Gallery 15,Gallery 15,
1,Gallery 16,Gallery 16,
1,Gallery 17,Gallery 17,
1,Gallery 18,Gallery 18,
1,Gallery 19,Gallery 19,
1,Gallery 2,Gallery 2,
1,Gallery 20,Gallery 20,
1,Gallery 21,Gallery 21,
1,Gallery 22,Gallery 22,
1,Gallery 23,Gallery 23,
1,Gallery 3,Gallery 3,
1,Gallery 4,Gallery 4,
1,Gallery 5,Gallery 5,
1,Gallery 6,Gallery 6,
1,Gallery 7,Gallery 7,
1,Gallery 8,Gallery 8,
1,Gallery 9,Gallery 9,
1,Not specified (National Museum collection),Not specified (National Museum collection),
1,Not specified (collection item),Not specified (collection item),
2,Coins & Currency Gallery,Coins & Currency Gallery,
2,Everyday Life Gallery,Everyday Life Gallery,
2,Heritage Craft Gallery,Heritage Craft Gallery,
2,Inscription & Epigraphy Gallery,Inscription & Epigraphy Gallery,
2,Islamic Heritage Gallery,Islamic Heritage Gallery,
2,Military Heritage Gallery,Military Heritage Gallery,
2,Site Documentation Gallery,Site Documentation Gallery,
2,Sultanate Architecture Gallery,Sultanate Architecture Gallery,
2,Trade & Material Culture Gallery,Trade & Material Culture Gallery,
3,Main Gallery – Boat Collection Hall,Main Gallery – Boat Collection Hall,
3,Museum Interior – Children's Section,Museum Interior – Children's Section,
3,Museum Interior – Dedicated Corner / Section,Museum Interior – Dedicated Corner / Section,
3,Museum Interior – Food Court Area,Museum Interior – Food Court Area,
3,Museum Interior – Library Wing,Museum Interior – Library Wing,
3,Museum Interior – Research Wing,Museum Interior – Research Wing,
4,Gallery 1,Gallery 1,
4,Gallery 1 — Founding of BAF,Gallery 1 — Founding of BAF,
4,Gallery 2,Gallery 2,
4,Gallery 2 — Aircraft Gallery,Gallery 2 — Aircraft Gallery,
4,Gallery 3 — Liberation War Gallery,Gallery 3 — Liberation War Gallery,
4,Gallery 4 — Weapons Gallery,Gallery 4 — Weapons Gallery,
4,Gallery 5 — Technology and Engineering,Gallery 5 — Technology and Engineering,
4,Museum Office / Display Case,Museum Office / Display Case,
4,Outdoor Artillery Display,Outdoor Artillery Display,
4,Outdoor Display,Outdoor Display,
4,Outdoor Display / Gallery 2,Outdoor Display / Gallery 2,
