Owner_ID,Owner_Name
1,Bangla Academy
2,Bangladesh Agricultural University
3,Bangladesh Air Force
4,Bangladesh Army
5,Bangladesh Bank
6,Bangladesh Folk Art and Crafts Foundation
7,Bangladesh National Museum
8,Bangladesh Police
9,Bangladesh Shishu Academy
10,Bangladesh Tea Board
11,Bogra District Council
12,Chittagong University Authority
13,Department of Archaeology
14,Deputy Commissioner of Barguna
15,Dhaka North City Corporation
16,Educationist Dewan Talibur Raja Trust
17,Geological Survey of Bangladesh
18,Hason Raja Museum Trust
19,Kishoreganj District Council
20,Kushtia Municipality
21,Ministry of Cultural Affairs
22,Ministry of Defence
23,Ministry of Liberation War Affairs
24,Ministry of Science and Technology
25,Postal Department
26,Principal of Panchagarh Govt. Mohila College
27,Private Management
28,Rajshahi University
29,Shilpakala Academy
